"Add New Category","Add New Category"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Start Import","Start Import"
NOTICE,NOTICE
"Database Name","Database Name"
"User Name","User Name"
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Clipart,Clipart
"Add New Clipart","Add New Clipart"
Clipart,Clipart
"Go to Clipart Home Page","Go to Clipart Home Page"
"Monthly Archives: %s %s","Monthly Archives: %s %s"
"Search ""%1""","Search ""%1"""
"Recent Clipart Cliparts","Recent Clipart Cliparts"
"Manage %1","Manage %1"
"Edit %1","Edit %1"
"New %1","New %1"
"Create %1","Create %1"
"%1 has been saved.","%1 has been saved."
"Something went wrong while saving this %1. %2","Something went wrong while saving this %1. %2"
"We can't delete %1 right now. %2","We can't delete %1 right now. %2"
"%1 have been deleted.","%1 have been deleted."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" missing in request data."
"Status Field Name is not specified.","Status Field Name is not specified."
"We can't change status of %1 right now. %2","We can't change status of %1 right now. %2"
"%1 status have been changed.","%1 status have been changed."
"Clipart Import","Clipart Import"
"Clipart import type is not specified.","Clipart import type is not specified."
"The import process was completed successfully. %1 cliparts and %2 categories where imported.","The import process was completed successfully. %1 cliparts and %2 categories where imported."
"The import process completed. %1 cliparts and %2 categories where imported. Some cliparts or categories where skipped.<br/> %3 %4","The import process completed. %1 cliparts and %2 categories where imported. Some cliparts or categories where skipped.<br/> %3 %4"
"Nothing to import.","Nothing to import."
"Can not make import.","Can not make import."
"Something went wrong: ","Something went wrong: "
"Clipart Import from WordPress (beta)","Clipart Import from WordPress (beta)"
"Please select","Please select"
"Use Facebook Comments","Use Facebook Comments"
"Use Disqus Comments","Use Disqus Comments"
"Use Google Comments (beta)","Use Google Comments (beta)"
"Yes (With auto trigger)","Yes (With auto trigger)"
"Yes (Without auto trigger)","Yes (Without auto trigger)"
"Parameter %1 is required","Parameter %1 is required"
"AheadWorks Clipart Extension not detected.","AheadWorks Clipart Extension not detected."
"The category URL key contains capital letters or disallowed symbols.","The category URL key contains capital letters or disallowed symbols."
"The category URL key cannot be made of only numbers.","The category URL key cannot be made of only numbers."
"The clipart URL key contains capital letters or disallowed symbols.","The clipart URL key contains capital letters or disallowed symbols."
"The clipart URL key cannot be made of only numbers.","The clipart URL key cannot be made of only numbers."
"The tag is already exist.","The tag is already exist."
"The tag URL key contains capital letters or disallowed symbols.","The tag URL key contains capital letters or disallowed symbols."
"The tag URL key cannot be made of only numbers.","The tag URL key cannot be made of only numbers."
"Related cliparts","Related cliparts"
Cliparted:,Cliparted:
Categories:,Categories:
Tags:,Tags:
Author:,Author:
"We can't find cliparts matching the selection.","We can't find cliparts matching the selection."
"Read more &#187;","Read more &#187;"
"See more","See more"
"Read %1","Read %1"
"&larr; Previous","&larr; Previous"
"Next &rarr;","Next &rarr;"
"Related Cliparts","Related Cliparts"
Archive,Archive
"Archive %s","Archive %s"
"Recent Cliparts","Recent Cliparts"
"RSS Feed","RSS Feed"
"Search cliparts here...","Search cliparts here..."
Tags,Tags
"designnbuy Extensions","designnbuy Extensions"
"Clipart Information","Clipart Information"
"Clipart Index Page","Clipart Index Page"
"Clipart View","Clipart View"
"Display Related Cliparts","Display Related Cliparts"
"Number of Cliparts","Number of Cliparts"
"Display Related Products","Display Related Products"
"Number of Products","Number of Products"
Comments,Comments
"Number of Comments","Number of Comments"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Clipart","Preview and Next Clipart"
"Display Prev. & Next Clipart Links","Display Prev. & Next Clipart Links"
"Clipart List","Clipart List"
"Cliparts Per Page","Cliparts Per Page"
"Use Lazy Loading","Use Lazy Loading"
"Automatically load more cliparts on page.","Automatically load more cliparts on page."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Author
"Display Author Information","Display Author Information"
"Display Clipart List By Author","Display Clipart List By Author"
Sidebar,Sidebar
"Search Form Widget","Search Form Widget"
"Categories Widget","Categories Widget"
"Recent Cliparts Widget","Recent Cliparts Widget"
"Cliparts Number","Cliparts Number"
"Archive Widget","Archive Widget"
"Tag Claud Widget","Tag Claud Widget"
"Rss Feed","Rss Feed"
"Feed Title","Feed Title"
"Feed Description","Feed Description"
"Product Page","Product Page"
"Permalink Settings","Permalink Settings"
"Clipart Route","Clipart Route"
"Permalink Type","Permalink Type"
"Clipart Route","Clipart Route"
"Category Route","Category Route"
"Archive Route","Archive Route"
"Tag Route","Tag Route"
"Author Route","Author Route"
"Search Route","Search Route"
Social,Social
"AddThis Enabled","AddThis Enabled"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Language"
"Category Top Navigation","Category Top Navigation"
"Display Clipart Link","Display Clipart Link"
"Clipart Category","Clipart Category"
"Leave blank to display cliparts from all categories.","Leave blank to display cliparts from all categories."
"Custom Template","Custom Template"
Published,Published
"Category Information","Category Information"
"Enable Category","Enable Category"
"Category Title","Category Title"
"Category in Websites","Category in Websites"
"-- Please Select --","-- Please Select --"
"Tag Title","Tag Title"
"Clipart Information","Clipart Information"
"Enable Clipart","Enable Clipart"
"Clipart Title","Clipart Title"
"New Category","New Category"
"Additional Options","Additional Options"
"Featured Image","Featured Image"
"Publish Date","Publish Date"
"New Tag","New Tag"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Title"
"Leave blank to use Meta Title by default.","Leave blank to use Meta Title by default."
"OG Description","OG Description"
"Leave blank to use Meta Description by default.","Leave blank to use Meta Description by default."
"OG Image","OG Image"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
"Clipart in Websites","Clipart in Websites"
"Related Cliparts and Products","Related Cliparts and Products"
"Related cliparts are shown to customers in addition to the item the customer is looking at.","Related cliparts are shown to customers in addition to the item the customer is looking at."
"Add Related Clipart","Add Related Clipart"
"Add Related Cliparts","Add Related Cliparts"
"Add Selected Cliparts","Add Selected Cliparts"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
