"Add New Category","Neue Kategorie hinzufügen"
"Are you sure you want to do this?","Sind Sie sicher?"
"Start Import","Import starten"
NOTICE,WARNUNG
"Database Name","Name der Datenbank"
"User Name","Username"
"Database Host","Datenbank-Host"
"Table Prefix","Tabellen-Präfix"
Size,Size
"Add New Size","Neuer Size"
Sheet,Sheet
"Go to Sheet Home Page","Zur Sheet-Startseite gehen"
"Monthly Archives: %s %s","Monatliche Archive: %s %s"
"Search ""%1""","Suche ""%1"""
"Recent Sheet Sizes","Neueste Sheetsizes"
"Manage %1","%1 verwalten"
"Edit %1","%1 bearbeiten"
"New %1","Neu %1"
"Create %1","%1 erstellen"
"%1 has been saved.","%1 wurde gespeichert."
"Something went wrong while saving this %1. %2","Beim Speichern dieses %1 ist etwas schiefgelaufen. %2"
"We can't delete %1 right now. %2","Wir können %1 gerade nicht löschen. %2"
"%1 have been deleted.","%1 wurden gelöscht."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" fehlt in den Request-Daten."
"Status Field Name is not specified.","Der Name des Status-Felds wurde nicht festgelegt."
"We can't change status of %1 right now. %2","Wir können den Status von %1 gerade nicht ändern. %2"
"%1 status have been changed.","%1 Status wurden geändert."
"Sheet Import","Sheet-Import"
"Sheet import type is not specified.","Der Typ für den Sheet-Import wurde nicht festgelegt."
"The import process was completed successfully. %1 sizes and %2 categories where imported.","Der Import wurde erfolgreich abgeschlossen. %1 Sizes und %2 Kategorien wurden importiert."
"The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4","Der Import wurde erfolgreich abgeschlossen. %1 Sizes und %2 Kategorien wurden importiert. Einige Sizes und Kategorien wurden übersprungen.<br/> %3 %4"
"Nothing to import.","Nichts zu importieren."
"Can not make import.","Import nicht möglich."
"Something went wrong: ","Etwas ist schiefgelaufen: "
"Sheet Import from WordPress","Sheet-Import von WordPress"
"Please select","Bitte auswählen"
"Use Facebook Comments","Facebook-Kommentare verwenden"
"Use Disqus Comments","Disqus-Kommentare verwenden"
"Use Google Comments","Google-Kommentare verwenden"
