"Add New Category","Add New Category"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Start Import","Start Import"
NOTICE,NOTICE
"Database Name","Database Name"
"User Name","User Name"
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Size,Size
"Add New Size","Add New Size"
Sheet,Sheet
"Go to Sheet Home Page","Go to Sheet Home Page"
"Monthly Archives: %s %s","Monthly Archives: %s %s"
"Search ""%1""","Search ""%1"""
"Recent Sheet Sizes","Recent Sheet Sizes"
"Manage %1","Manage %1"
"Edit %1","Edit %1"
"New %1","New %1"
"Create %1","Create %1"
"%1 has been saved.","%1 has been saved."
"Something went wrong while saving this %1. %2","Something went wrong while saving this %1. %2"
"We can't delete %1 right now. %2","We can't delete %1 right now. %2"
"%1 have been deleted.","%1 have been deleted."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" missing in request data."
"Status Field Name is not specified.","Status Field Name is not specified."
"We can't change status of %1 right now. %2","We can't change status of %1 right now. %2"
"%1 status have been changed.","%1 status have been changed."
"Sheet Import","Sheet Import"
"Sheet import type is not specified.","Sheet import type is not specified."
"The import process was completed successfully. %1 sizes and %2 categories where imported.","The import process was completed successfully. %1 sizes and %2 categories where imported."
"The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4","The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4"
"Nothing to import.","Nothing to import."
"Can not make import.","Can not make import."
"Something went wrong: ","Something went wrong: "
"Sheet Import from WordPress","Sheet Import from WordPress"
"Please select","Please select"
"Use Facebook Comments","Use Facebook Comments"
"Use Disqus Comments","Use Disqus Comments"
"Use Google Comments","Use Google Comments"
"Yes (With auto trigger)","Yes (With auto trigger)"
"Yes (Without auto trigger)","Yes (Without auto trigger)"
"Parameter %1 is required","Parameter %1 is required"
"AheadWorks Sheet Extension not detected.","AheadWorks Sheet Extension not detected."
"The category URL key contains disallowed symbols.","The category URL key contains disallowed symbols."
"The category URL key cannot be made of only numbers.","The category URL key cannot be made of only numbers."
"The size URL key contains disallowed symbols.","The size URL key contains disallowed symbols."
"The size URL key cannot be made of only numbers.","The size URL key cannot be made of only numbers."
"The tag is already exist.","The tag is already exist."
"The tag URL key contains disallowed symbols.","The tag URL key contains disallowed symbols."
"The tag URL key cannot be made of only numbers.","The tag URL key cannot be made of only numbers."
"Related sizes","Related sizes"
Sizeed:,Sizeed:
Categories:,Categories:
Tags:,Tags:
Author:,Author:
"We can't find sizes matching the selection.","We can't find sizes matching the selection."
"Read more &#187;","Read more &#187;"
"See more","See more"
"Read %1","Read %1"
"&larr; Previous","&larr; Previous"
"Next &rarr;","Next &rarr;"
"Related Sizes","Related Sizes"
Archive,Archive
"Archive %s","Archive %s"
"Recent Sizes","Recent Sizes"
"RSS Feed","RSS Feed"
"Search sizes here...","Search sizes here..."
Tags,Tags
"Designnbuy Extensions","Designnbuy Extensions"
"Sheet Information","Sheet Information"
"Sheet Index Page","Sheet Index Page"
"Size View","Size View"
"Display Related Sizes","Display Related Sizes"
"Number of Sizes","Number of Sizes"
"Display Related Products","Display Related Products"
"Number of Products","Number of Products"
Comments,Comments
"Number of Comments","Number of Comments"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Size","Preview and Next Size"
"Display Prev. & Next Size Links","Display Prev. & Next Size Links"
"Size List","Size List"
"Sizes Per Page","Sizes Per Page"
"Use Lazy Loading","Use Lazy Loading"
"Automatically load more sizes on page.","Automatically load more sizes on page."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Author
"Display Author Information","Display Author Information"
"Display Size List By Author","Display Size List By Author"
Sidebar,Sidebar
"Search Form Widget","Search Form Widget"
"Categories Widget","Categories Widget"
"Recent Sizes Widget","Recent Sizes Widget"
"Sizes Number","Sizes Number"
"Archive Widget","Archive Widget"
"Tag Claud Widget","Tag Claud Widget"
"Rss Feed","Rss Feed"
"Feed Title","Feed Title"
"Feed Description","Feed Description"
"Product Page","Product Page"
"Permalink Settings","Permalink Settings"
"Sheet Route","Sheet Route"
"Permalink Type","Permalink Type"
"Size Route","Size Route"
"Category Route","Category Route"
"Archive Route","Archive Route"
"Tag Route","Tag Route"
"Author Route","Author Route"
"Search Route","Search Route"
Social,Social
"AddThis Enabled","AddThis Enabled"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Language"
"Category Top Navigation","Category Top Navigation"
"Display Sheet Link","Display Sheet Link"
"Sheet Category","Sheet Category"
"Leave blank to display sizes from all categories.","Leave blank to display sizes from all categories."
"Custom Template","Custom Template"
Published,Published
"Category Information","Category Information"
"Enable Category","Enable Category"
"Category Title","Category Title"
"Category in Websites","Category in Websites"
"-- Please Select --","-- Please Select --"
"Tag Title","Tag Title"
"Size Information","Size Information"
"Enable Size","Enable Size"
"Size Title","Size Title"
"New Category","New Category"
"Additional Options","Additional Options"
"Featured Image","Featured Image"
"Publish Date","Publish Date"
"New Tag","New Tag"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Title"
"Leave blank to use Meta Title by default.","Leave blank to use Meta Title by default."
"OG Description","OG Description"
"Leave blank to use Meta Description by default.","Leave blank to use Meta Description by default."
"OG Image","OG Image"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
"Size in Websites","Size in Websites"
"Related Sizes and Products","Related Sizes and Products"
"Related sizes are shown to customers in addition to the item the customer is looking at.","Related sizes are shown to customers in addition to the item the customer is looking at."
"Add Related Size","Add Related Size"
"Add Related Sizes","Add Related Sizes"
"Add Selected Sizes","Add Selected Sizes"
"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
"Reply","Reply"
"Show more replies in this thread","Show more replies in this thread"
"%1 Comment(s)","%1 Comment(s)"
"Add a comment...","Add a comment..."
"Add a reply...","Add a reply..."
"Sign in to add a comment...","Sign in to add a comment..."
"Sign in to add a reply...","Sign in to add a reply..."
"Full Name","Full Name"
"Load more comments","Load more comments"
"Login to submit comment","Login to submit comment",
"You cannot size comment. Sheet size is not longer exist.","You cannot size comment. Sheet size is not longer exist."
"You cannot reply to this comment. Comment is not longer exist.","You cannot reply to this comment. Comment is not longer exist."
"You cannot reply to this comment.","You cannot reply to this comment."
"You submitted your comment for moderation.","You submitted your comment for moderation."
"Thank you for your comment.","Thank you for your comment."
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
