"Add New Category","Añadir nueva categoria"
"Are you sure you want to do this?","¿Seguro que quieres hacer esto?"
"Start Import","Iniciar Importación"
"NOTICE","AVISO"
"Database Name","Nombre de la base de datos"
"User Name","Nombre de usuario"
"Database Host","Servidor de base de datos"
"Table Prefix","Tabla de prefijos"
"Size","Enviar"
"Add New Size","Añadir nueva publicación"
"Sheet","Sheet"
"Go to Sheet Home Page","Ir a la página principal del sheet"
"Monthly Archives: %s %s","Archivos mensuales: %s %s"
"Search ""%1""","Buscar ""%1"""
"Recent Sheet Sizes","Entradas recientes del sheet"
"Manage %1","Administrar %1"
"Edit %1","Editar %1"
"New %1","Nuevo %1"
"Create %1","Crear %1"
"%1 has been saved.","Se ha guardado %1."
"Something went wrong while saving this %1. %2","Se ha producido un error al guardar este %1. %2"
"We can't delete %1 right now. %2","No podemos eliminar% 1 ahora mismo. %2"
"%1 have been deleted.","Se ha eliminado %1."
"Parameter ""Status"" missing in request data.","Parámetro ""Estado"" no aparece en los datos solicitados."
"Status Field Name is not specified.","El nombre del campo de estado no está especificado."
"We can't change status of %1 right now. %2","No podemos cambiar el estado de %1 ahora mismo. %2"
"%1 status have been changed.","Se ha cambiado el estado %1."
"Sheet Import","Importación de sheets"
"Sheet import type is not specified.","El tipo de importación de sheet no se especifica."
"The import process was completed successfully. %1 sizes and %2 categories where imported.","El proceso de importación se completó correctamente. %1 puestos y %2 categorías donde se importan."
"The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4","El proceso de importación completado. %1 publicaciones y %2 categorías importadas. Algunas publicaciones o categorías no han podido importarse. <br/> %3 %4"
"Nothing to import.","Nada que importar."
"Can not make import.","No se puede importar."
"Something went wrong: ","Algo salió mal:"
"Sheet Import from WordPress","Importación de sheets de WordPress"
"Please select","Por favor seleccione"
"Use Facebook Comments","Utilizar los comentarios de Facebook"
"Use Disqus Comments","Utilizar los comentarios de Disqus"
"Use Google Comments","Utilizar los comentarios de Google"
"Yes (With auto trigger)","Sí (con auto trigger)"
"Yes (Without auto trigger)","Sí (sin auto trigger)"
"Parameter %1 is required","Se requiere el parámetro %1"
"AheadWorks Sheet Extension not detected.","No se ha detectado la extensión Sheet de AheadWorks."
"The category URL key contains disallowed symbols.","La URL key de categoría contiene letras mayúsculas o símbolos no permitidos."
"The category URL key cannot be made of only numbers.","La URL key de categoría no puede contener únicamente números."
"The size URL key contains disallowed symbols.","La URL key de la publicación contiene letras mayúsculas o símbolos no permitidos."
"The size URL key cannot be made of only numbers.","La URL key de la publicación no puede contener únicamente números."
"The tag is already exist.","La etiqueta ya existe."
"The tag URL key contains disallowed symbols.","La etiqueta URL key contiene letras mayúsculas o símbolos no permitidos."
"The tag URL key cannot be made of only numbers.","La etiqueta URL key no puede contener únicamente números."
"Related sizes","Artículos Relacionados"
"Sizeed:","Publicado:"
"Categories:","Categorías:"
"Tags:","Etiquetas:"
"Author:","Autor:"
"We can't find sizes matching the selection.","No hemos encontrado publicaciones que coincidan con la selección."
"Read more &#187;","Lee mas &#187;"
"See more","Ver más"
"Read %1","Leer %1"
"&larr; Previous","&larr; Anterior"
"Next &rarr;","Siguiente &rarr;"
"Related Sizes","Artículos Relacionados"
"Archive","Archivo"
"Archive %s","Archivo %s"
"Recent Sizes","Mensajes recientes"
"RSS Feed","RSS Feed"
"Search sizes here...","Buscar mensajes aquí..."
"Tags","Etiquetas"
"Designnbuy Extensions","Extensiones Designnbuy"
"Sheet Information","Información del sheet"
"Sheet Index Page","Página del índice del sheet"
"Size View","Vista de la publicación"
"Display Related Sizes","Mostrar publicaciones relacionadas"
"Number of Sizes","Cantidad de publicaciones"
"Display Related Products","Mostrar productos relacionados"
"Number of Products","Número de productos"
"Comments","Comentarios"
"Number of Comments","Número de Comentarios"
"Facebook Application ID","ID de la aplicación de Facebook"
"Preview and Next Size","Vista previa y siguiente publicación"
"Display Prev. & Next Size Links","Mostrar Prev. & Siguiente Publicar Enlaces"
"Size List","Lista de correos"
"Sizes Per Page","Mensajes por página"
"Use Lazy Loading","Utilizar Lazy Loading"
"Automatically load more sizes on page.","Cargar automáticamente más publicaciones en la página."
"Auto Triger Padding (px)","Auto Triger padding (px)"
"Author","Autor"
"Display Author Information","Mostrar información del autor"
"Display Size List By Author","Mostrar lista de publicaciones por autor"
"Sidebar","Barra lateral"
"Search Form Widget","Widget de formulario de búsqueda"
"Categories Widget","Categorías Widget"
"Recent Sizes Widget","Widget de publicaciones recientes"
"Sizes Number","Número de publicaciones"
"Archive Widget","Archivo de Widget"
"Tag Claud Widget","Etiqueta Claud Widget"
"Rss Feed","RSS Feed"
"Feed Title","Título del Feed"
