"Add New Category","Nieuwe Categorie Toevoegen"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Start Import","Start Importeren"
NOTICE,"LET OP"
"Database Name","Database Naam"
"User Name","Gebruikers Naam"
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Size,Plaats
"Add New Size","Voeg Nieuw Bericht Toe"
Sheet,Sheet
"Go to Sheet Home Page","Ga naar Sheet Home Pagina"
"Monthly Archives: %s %s","Maandelijkse Archieven: %s %s"
"Search ""%1""","Zoeken ""%1"""
"Recent Sheet Sizes","Recente Sheet Berichten"
"Manage %1","Beheer %1"
"Edit %1","Bewerk %1"
"New %1","Nieuw %1"
"Create %1","Maak %1"
"%1 has been saved.","%1 is opgeslagen."
"Something went wrong while saving this %1. %2","Er is iets fout gegaan tijdens het opslaan %1. %2"
"We can't delete %1 right now. %2","Op dit moment kun je %1 niet verwijderen. %2"
"%1 have been deleted.","%1 is verwijderd."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" ontbrekende gegevens in het verzoek."
"Status Field Name is not specified.","Status Veldnaam is niet gespecificeerd."
"We can't change status of %1 right now. %2","we kunnen de status van %1 nu direct. %2"
"%1 status have been changed.","%1 Status is veranderd."
"Sheet Import","Sheet Import"
"Sheet import type is not specified.","Sheet import type zijn niet gespecificeerd."
"The import process was completed successfully. %1 sizes and %2 categories where imported.","Het importeer proces is compleet geluk. %1 berichten en %2 categorieën zijn geïmporteerd."
"The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4","Het importeer proces is compleet. %1 berichten en %2 categorieën zijn geimpoteerd. Sommige berichten of categorieën zijn overgeslagen.<br/> %3 %4"
"Nothing to import.","Niets om te Importeren."
"Can not make import.","Kan niet Importeren."
"Something went wrong: ","Er is iets mis gegaan: "
"Sheet Import from WordPress","Sheet Importeren vanaf WordPress"
"Please select","Selecteer"
"Use Facebook Comments","Gebruik Facebook Comments"
"Use Disqus Comments","Gebruik Disqus Comments"
"Use Google Comments","Gebruik Google Comments"
"Yes (With auto trigger)","Ja (Met auto trigger)"
"Yes (Without auto trigger)","Ja (Zonder auto trigger)"
"Parameter %1 is required","Parameter %1 is verplicht"
"AheadWorks Sheet Extension not detected.","AheadWorks Sheet Extensie niet gedetecteerd."
"The category URL key contains disallowed symbols.","De URL key bevat hoofdletters of niet toegestane symbolen."
"The category URL key cannot be made of only numbers.","De categorie URL key mag niet alleen uit nummers bestaan."
"The size URL key contains disallowed symbols.","De bericht URL key bevat hoofdletters of niet toegestane symbolen."
"The size URL key cannot be made of only numbers.","De bericht URL key mag niet alleen uit nummers bestaan."
"The tag is already exist.","Deze tag bestaat al."
"The tag URL key contains disallowed symbols.","De tag URL key bevat hoofdletters of niet toegestane symbolen."
"The tag URL key cannot be made of only numbers.","De tag URL key mag niet alleen uit nummers bestaan."
"Related sizes","Gerelateerde berichten"
Sizeed:,Geplaatst:
Categories:,Categorieën:
Tags:,Tags:
Author:,Auteur:
"We can't find sizes matching the selection.","We kunnen geen berichten vinden die overeen komen met deze selectie."
"Read more &#187;","Lees meer &#187;"
"See more","Bekijk meer"
"Read %1","Lees %1"
"&larr; Previous","&larr; Vorige"
"Next &rarr;","Volgende &rarr;"
"Related Sizes","Gerelateerde Berichten"
Archive,Archief
"Archive %s","Archief %s"
"Recent Sizes","Recente Berichten"
"RSS Feed","RSS Feed"
"Search sizes here...","Zoek Bericht Hier…"
Tags,Tags
"Designnbuy Extensions","Designnbuy Extensions"
"Sheet Information","Sheet Informatie"
"Sheet Index Page","Sheet Index Pagina"
"Size View","Bericht Bekijken"
"Display Related Sizes","Toon Gerelateerde Berichten"
