Add New Category,Adauga Categorie Noua
Are you sure you want to do this?,Esti sigur ca frei sa faci asta?
Start Import,Porneste Import
NOTICE,NOTIFICARE
Database Name,Numele Bazei de Date
User Name,Numele User-ului
Database Host,Host-ul Bazei de Date
Table Prefix,Prefixul Tabelului
Size,Sizeare
Add New Size,Adauga Sizeare Noua
Sheet,Sheet
Go to Sheet Home Page,Mergi la Prima Pagina a Sheet-ului
Monthly Archives: %s %s,Arhive Lunare: %s %s
"Search ""%1""","Cauta ""%1"""
Recent Sheet Sizes,Sizeari Recente in Sheet
Manage %1,Administreaza %1
Edit %1,Editeaza %1
New %1,Nou %1
Create %1,Creaza %1
%1 has been saved.,%1 a fost salvat.
Something went wrong while saving this %1. %2,Ceva nu a functionat si nu a fost salvat %1. %2
We can't delete %1 right now. %2,Nu se poate sterge %1 deocamdata. %2
%1 have been deleted.,%1 a fost sters.
"Parameter ""Status"" missing in request data.","Parametrul ""Status"" lipseste din datele cerute."
Status Field Name is not specified.,Status-ul Nume Camp nu e specificat.
We can't change status of %1 right now. %2,Nu putem schimba statusul pentru %1 deocamdata. %2
%1 status have been changed.,Statusul %1 a fost modificat.
Sheet Import,Importa Sheet-ul.
Sheet import type is not specified.,Tipul de import in Sheet nu e specificat.
The import process was completed successfully. %1 sizes and %2 categories where imported.,Importul a fost finalizat cu succes. %1 sizeari si %2 categorii au fost importate.
The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4,Importul a fost finalizat cu succes. %1 sizeari si %2 categorii au fost importate. Unele sizeari si categorii au fost omise.<br/> %3 %4
Nothing to import.,Nu e nimic de importat.
Can not make import.,Nu pot realiza importul.
Something went wrong:,Ceva nu e in regula:
Sheet Import from WordPress,Importa Sheet din WordPress
Please select,Va rugam alegeti
Use Facebook Comments,Foloseste Comentararii Facebook
Use Disqus Comments,Foloseste Comentarii Disqus
Use Google Comments,Foloseste Comentareii Google
Yes (With auto trigger),Da (Cu declansare automata)
Yes (Without auto trigger),Da (Fara declansare automata)
Parameter %1 is required,E nevoie de parametrul %1
AheadWorks Sheet Extension not detected.,Extensia pentru Sheet AheadWorks nu a fost gasita
The category URL key contains disallowed symbols.,URL-ul categoriei contine litere mai sau simboluri nepermise.
The category URL key cannot be made of only numbers.,URL-ul nu poate fi compus doar din numere.
The size URL key contains disallowed symbols.,URL-il sizearii contine litere mari sau simboluri nepermise.
The size URL key cannot be made of only numbers.,URL-ul sizearii nu poate fi compus doar din numere.
The tag is already exist.,Tag-ul is exista deja.
The tag URL key contains disallowed symbols.,Tag-ul URL contine litere mari sau simboluri nepermise.
The tag URL key cannot be made of only numbers.,Tag-ul URL nu poate fi compus doar din numere.
Related sizes,Sizeari pe aceeasi tema
Sizeed:,Sizeat:
Categories:,Categorii:
Tags:,Tag-uri:
Author:,Autor:
We can't find sizes matching the selection.,Nu gasesc sizeari pe baza termenilor alesi.
Read more &#187;,Citeste mai departe &#187;
See more,Vezi tot
Read %1,Citeste %1
&larr; Previous,&larr; Anterior
Next &rarr;,Urmatorul &rarr;
Related Sizes,Sizeari pe aceeasi tema
Archive,Arhiva
Archive %s,Arhiva %s
Recent Sizes,Sizeari Recente
RSS Feed,RSS Feed
Search sizes here...,Cauta sizeari...
Tags,Tag-uri
Designnbuy Extensions,Extensii Designnbuy
Sheet Information,Informatii Sheet
Sheet Index Page,Prima Pagina Sheet
Size View,Vizualizare Sizeare
Display Related Sizes,Arata Sizeari pe aceeasi tema
Number of Sizes,Numar de Sizeari
Display Related Products,Arata produse asemanatoare
Number of Products,Numar de Produse
Comments,Comentarii
Number of Comments,Numar de Comantarii
Facebook Application ID,Aplicatia ID Facebook
