"Add New Category","Створити нову категорію"
"Are you sure you want to do this?","Ви впевнені що хочете зробити це"
"Start Import","Розпочати імпорт"
NOTICE,УВАГА
"Database Name","Назва бази даних"
"User Name","Назва користувача"
"Database Host","Хост бази даних"
"Table Prefix","Префікс таблиць"
Size,Публікація
"Add New Size","Додати нову публікацію"
Sheet,Блог
"Go to Sheet Home Page","Повернутись на головну сторінку блогу"
"Monthly Archives: %s %s","Архів по місяцям: %s %s"
"Archive","Архів"
"Search ""%1""","Шукати ""%1"""
"Recent Sheet Sizes","Останні публікації"
"Manage %1","Управляти %1"
"Edit %1","Редагувати %1"
"New %1","Новий(ва) %1"
"Create %1","Створити %1"
"%1 has been saved.","%1 збережено."
"Something went wrong while saving this %1. %2","Дещо пішло не так під час збереження %1. %2"
"We can't delete %1 right now. %2","Не можливо видалити зараз. %2"
"%1 have been deleted.","%1 видалено."
"Parameter ""Status"" missing in request data.","Параметер ""Статус"" відсутній."
"Status Field Name is not specified.","Status Field Name не вказано."
"We can't change status of %1 right now. %2","Не можливо змінити статус. %2"
"%1 status have been changed.","Статус було змінено."
"Sheet Import","Імпорт Блогу"
"Sheet import type is not specified.","Тип імпорту не було вказано."
"The import process was completed successfully. %1 sizes and %2 categories where imported.","Імпорт завершено успішно. %1 публікацій та %2 категорій було імпортовано."
"The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4","Імпорт завершено. %1 публікацій та %2 категорій було імпортовано, але деякі публікації чи категорії були пропущенні.<br/> %3 %4"
"Nothing to import.","Немає що імпортувати."
"Can not make import.","Неможливо здійснити імпорт."
"Something went wrong: ","Ой лишенько. Щось пішло не так: "
"Sheet Import from WordPress","Імпорт блогу з WordPress"
"Please select","Будь ласка виберіть"
"Use Facebook Comments","Використовувати коментарі Facebook"
"Use Disqus Comments","Використовувати коментарі Disqus"
"Use Google Comments","Використовувати коментарі Google"
"Yes (With auto trigger)","Так (З автоматним тригером)"
"Yes (Without auto trigger)","Так (Без автоматичного тригера)"
"Parameter %1 is required","Параметер %1 вимагається"
"AheadWorks Sheet Extension not detected.","AheadWorks Sheet Extension не виявлений."
"The category URL key contains disallowed symbols.","URL ключ категорії містить заборонені символи."
"The category URL key cannot be made of only numbers.","URL ключ категорії не може складатись лише із цифер."
"The size URL key contains disallowed symbols.","URL ключ публікації містить заборонені символи."
"The size URL key cannot be made of only numbers.","URL ключ публікації не може складатись лише із цифер."
"The tag is already exist.","Тег уже існує."
"The tag URL key contains disallowed symbols.","URL ключ тега містить заборонені символи"
"The tag URL key cannot be made of only numbers.","URL ключ тега не може складатись лише із цифер."
"Related sizes","Пов'язані публікації"
Sizeed:,Опубліковано:
Categories:,Категорії:
Categories,Категорії
Tags:,Теги:
Author:,Аутор:
"We can't find sizes matching the selection.","Ми не можемо знайти жодних публікацій тут."
"Read more &#187;","Дізнатись більше &#187;"
"See more","Дивітся більше"
"Read %1","Читати %1"
"&larr; Previous","&larr; Попередня"
"Next &rarr;","Наступна &rarr;"
"Related Sizes","Пов'язані публікації"
Archive,Архів
"Archive %s","Архів %s"
"Recent Sizes","Останні публікації"
"RSS Feed","RSS Feed"
"Search sizes here...","Пошук публікацій..."
Tags,Tags
"Designnbuy Extensions","Рішення від Designnbuy"
"Sheet Information","Інформація про блог"
"Sheet Index Page","Головна сторінка блогу"
"Size View","Перегляд публікацій"
"Display Related Sizes","Показувати пов'язані публікації"
"Number of Sizes","Кількість публікацій"
"Display Related Products","Показувати пов'язані продукти"
"Number of Products","Кількість продуктів"
Comments,Коментарі
"Number of Comments","Кількість дописів у коментарях"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Size","Попередня і наступна публікація"
"Display Prev. & Next Size Links","Показувати посилання на попередню і наступну публікацію"
"Size List","Список публікацій"
"Sizes Per Page","Кількість публікацій на сторінку"
"Use Lazy Loading","Використовувати ліниве завантаження (Lazy Loading)"
"Automatically load more sizes on page.","Автоматично підвантажувати більше публікацій на сторінці під час прокручування униз."
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Author
